date,county,cases,deaths
2020-03-01,New York City,1,0
2020-03-02,New York City,0,0
2020-03-03,New York City,1,0
2020-03-04,New York City,0,0
2020-03-05,New York City,2,0
2020-03-06,New York City,1,0
2020-03-07,New York City,7,0
2020-03-08,New York City,2,0
2020-03-09,New York City,6,0
2020-03-10,New York City,17,0
2020-03-11,New York City,15,0
2020-03-12,New York City,44,0
2020-03-13,New York City,59,0
2020-03-14,New York City,114,1
2020-03-15,New York City,61,4
2020-03-16,New York City,134,2
2020-03-17,New York City,182,4
2020-03-18,New York City,698,14
2020-03-19,New York City,1133,6
2020-03-20,New York City,1942,23
2020-03-21,New York City,1807,21
2020-03-22,New York City,2839,44
2020-03-23,New York City,3264,36
2020-03-24,New York City,2614,75
2020-03-25,New York City,5118,100
2020-03-26,New York City,3121,105
2020-03-27,New York City,2327,125
2020-03-28,New York City,5410,265
2020-03-29,New York City,3064,166
2020-03-30,New York City,4392,211
2020-03-31,New York City,5143,273
2020-04-01,New York City,4396,373
2020-04-02,New York City,4486,304
2020-04-03,New York City,5541,496
2020-04-04,New York City,6333,573
2020-04-05,New York City,4452,425
2020-04-06,New York City,4827,1211
2020-04-07,New York City,4945,774
2020-04-08,New York City,5175,810
2020-04-09,New York City,5454,808
2020-04-10,New York City,5575,732
2020-04-11,New York City,6138,753
2020-04-12,New York City,5099,714
2020-04-13,New York City,3767,648
2020-04-14,New York City,3926,761
2020-04-15,New York City,8021,709
2020-04-16,New York City,4970,543
2020-04-17,New York City,4380,174
2020-04-18,New York City,4049,128
2020-04-19,New York City,3318,1221
2020-04-20,New York City,2511,442
2020-04-21,New York City,2666,439
2020-04-22,New York City,3240,446
2020-04-23,New York City,3540,402
2020-04-24,New York City,4754,393
2020-04-25,New York City,4770,392
2020-04-26,New York City,3255,340
2020-04-27,New York City,2357,335
2020-04-28,New York City,2024,385
2020-04-29,New York City,2637,391
2020-04-30,New York City,2660,212
2020-05-01,New York City,2147,122
2020-05-02,New York City,2559,90
2020-05-03,New York City,2238,430
2020-05-04,New York City,1306,129
2020-05-05,New York City,1284,139
2020-05-06,New York City,1452,274
2020-05-07,New York City,1883,148
2020-05-08,New York City,1504,69
2020-05-09,New York City,1506,114
2020-05-10,New York City,993,112
2020-05-11,New York City,890,127
2020-05-12,New York City,774,173
2020-05-13,New York City,1074,79
2020-05-14,New York City,1269,89
2020-05-15,New York City,1809,68
2020-05-16,New York City,1009,99
2020-05-17,New York City,1005,143
2020-05-18,New York City,628,84
2020-05-19,New York City,596,78
2020-05-20,New York City,682,46
2020-05-21,New York City,1115,69
2020-05-22,New York City,791,78
2020-05-23,New York City,764,52
2020-05-24,New York City,869,76
2020-05-25,New York City,638,43
2020-05-26,New York City,542,55
2020-05-27,New York City,670,49
2020-05-28,New York City,1073,51
2020-05-29,New York City,946,65
2020-05-30,New York City,739,31
2020-05-31,New York City,546,59
2020-06-01,New York City,465,40
2020-06-02,New York City,645,42
2020-06-03,New York City,493,38
2020-06-04,New York City,539,64
2020-06-05,New York City,501,28
2020-06-06,New York City,546,32
2020-06-07,New York City,454,29
2020-06-08,New York City,394,33
2020-06-09,New York City,347,40
2020-06-10,New York City,415,40
2020-06-11,New York City,387,32
2020-06-12,New York City,436,51
2020-06-13,New York City,535,32
2020-06-14,New York City,385,27
2020-06-15,New York City,384,22
2020-06-16,New York City,331,19
2020-06-17,New York City,344,26
2020-06-18,New York City,327,28
2020-06-19,New York City,408,37
2020-06-20,New York City,382,9
2020-06-21,New York City,386,34
2020-06-22,New York City,298,43
2020-06-23,New York City,316,21
2020-06-24,New York City,286,21
2020-06-25,New York City,340,18
2020-06-26,New York City,370,37
2020-06-27,New York City,358,20
2020-06-28,New York City,324,27
2020-06-29,New York City,189,1
2020-06-30,New York City,174,625
2020-07-01,New York City,299,8
2020-07-02,New York City,424,19
2020-07-03,New York City,461,17
2020-07-04,New York City,367,20
2020-07-05,New York City,242,31
2020-07-06,New York City,245,11
2020-07-07,New York City,274,18
2020-07-08,New York City,288,6
2020-07-09,New York City,279,23
2020-07-10,New York City,355,20
2020-07-11,New York City,304,11
2020-07-12,New York City,343,5
2020-07-13,New York City,252,40
2020-07-14,New York City,316,13
2020-07-15,New York City,369,17
2020-07-16,New York City,383,17
2020-07-17,New York City,369,6
2020-07-18,New York City,385,11
2020-07-19,New York City,305,13
2020-07-20,New York City,284,10
2020-07-21,New York City,391,13
2020-07-22,New York City,351,4
2020-07-23,New York City,387,35
2020-07-24,New York City,365,2
2020-07-25,New York City,338,11
2020-07-26,New York City,225,9
2020-07-27,New York City,295,14
2020-07-28,New York City,199,7
2020-07-29,New York City,298,5
2020-07-30,New York City,314,14
2020-07-31,New York City,283,6
2020-08-01,New York City,313,5
2020-08-02,New York City,263,5
2020-08-03,New York City,238,9
2020-08-04,New York City,316,6
2020-08-05,New York City,304,7
2020-08-06,New York City,332,529
2020-08-07,New York City,342,4
2020-08-08,New York City,329,8
2020-08-09,New York City,246,5
2020-08-10,New York City,239,6
2020-08-11,New York City,274,6
2020-08-12,New York City,392,10
2020-08-13,New York City,437,8
2020-08-14,New York City,364,5
2020-08-15,New York City,386,6
2020-08-16,New York City,309,7
2020-08-17,New York City,237,6
2020-08-18,New York City,291,8
2020-08-19,New York City,268,1
2020-08-22,New York City,820,3
2020-08-23,New York City,288,12
2020-08-24,New York City,210,4
2020-08-25,New York City,231,4
2020-08-26,New York City,262,3
2020-08-27,New York City,313,5
2020-08-28,New York City,269,6
2020-08-29,New York City,278,3
2020-08-30,New York City,292,6
2020-08-31,New York City,261,6
2020-09-01,New York City,308,8
2020-09-02,New York City,266,5
2020-09-03,New York City,303,2
2020-09-04,New York City,324,6
2020-09-05,New York City,277,5
2020-09-06,New York City,295,0
2020-09-07,New York City,208,15
2020-09-08,New York City,222,8
2020-09-14,New York City,1613,6
2020-09-15,New York City,307,8
2020-09-16,New York City,253,4
2020-09-17,New York City,330,5
2020-09-18,New York City,351,8
2020-09-20,New York City,890,2
2020-09-21,New York City,262,5
2020-09-24,New York City,1051,3
2020-09-25,New York City,372,7
2020-09-26,New York City,430,3
2020-09-27,New York City,384,6
2020-09-28,New York City,381,9
2020-09-29,New York City,522,4
2020-09-30,New York City,451,9
2020-10-01,New York City,534,6
2020-10-02,New York City,602,17
2020-10-04,New York City,1245,6
2020-10-05,New York City,472,9
2020-10-06,New York City,568,5
2020-10-07,New York City,544,7
2020-10-08,New York City,695,1
2020-10-09,New York City,625,5
2020-10-10,New York City,576,3
2020-10-11,New York City,469,1
2020-10-12,New York City,396,7
2020-10-13,New York City,543,5
2020-10-14,New York City,467,10
2020-10-15,New York City,512,10
2020-10-16,New York City,656,0
2020-10-17,New York City,810,10
2020-10-18,New York City,612,10
2020-10-19,New York City,420,9
2020-10-20,New York City,436,0
2020-10-21,New York City,842,5
2020-10-22,New York City,531,6
2020-10-23,New York City,570,8
2020-10-24,New York City,752,0
2020-10-25,New York City,654,4
2020-10-26,New York City,425,2
2020-10-27,New York City,734,9
2020-10-28,New York City,835,2
2020-10-29,New York City,1058,9
2020-10-30,New York City,906,7
2020-10-31,New York City,702,5
2020-11-01,New York City,950,12
2020-11-02,New York City,640,4
2020-11-03,New York City,798,4
2020-11-04,New York City,795,13
2020-11-05,New York City,1072,13
2020-11-06,New York City,1202,7
2020-11-07,New York City,1165,6
2020-11-08,New York City,1393,14
2020-11-09,New York City,1161,11
2020-11-10,New York City,1207,2
2020-11-11,New York City,1732,9
2020-11-12,New York City,1663,3
2020-11-13,New York City,1826,9
2020-11-14,New York City,1800,10
2020-11-15,New York City,1452,6
2020-11-16,New York City,1293,12
2020-11-17,New York City,1940,10
2020-11-18,New York City,1735,3
2020-11-19,New York City,1839,18
2020-11-20,New York City,2030,21
2020-11-21,New York City,1948,14
2020-11-22,New York City,1925,4
2020-11-23,New York City,1787,12
2020-11-24,New York City,1725,2
2020-11-25,New York City,1918,10
2020-11-26,New York City,2336,11
2020-11-27,New York City,2561,14
2020-11-28,New York City,2098,5
2020-11-29,New York City,2303,8
2020-11-30,New York City,2501,6
2020-12-01,New York City,2577,13
2020-12-02,New York City,3200,10
2020-12-03,New York City,3305,8
2020-12-04,New York City,3600,18
2020-12-05,New York City,3227,23
2020-12-06,New York City,3135,19
2020-12-07,New York City,3842,22
2020-12-08,New York City,3145,29
2020-12-10,New York City,7528,5
2020-12-11,New York City,3313,29
2020-12-12,New York City,3893,17
2020-12-13,New York City,3211,34
2020-12-14,New York City,2969,25
2020-12-15,New York City,3529,35
2020-12-16,New York City,2911,17
2020-12-17,New York City,3211,35
2020-12-18,New York City,4408,39
2020-12-19,New York City,3339,25
2020-12-20,New York City,2741,20
2020-12-21,New York City,3787,38
2020-12-22,New York City,4039,33
2020-12-23,New York City,4176,22
2020-12-24,New York City,5441,52
2020-12-25,New York City,4606,47
2020-12-26,New York City,4191,42
2020-12-27,New York City,3424,42
2020-12-28,New York City,3450,35
2020-12-29,New York City,5152,47
2020-12-30,New York City,4205,44
2020-12-31,New York City,4584,45
2021-01-01,New York City,5829,42
2021-01-02,New York City,6003,25
2021-01-03,New York City,4204,33
2021-01-04,New York City,3759,40
2021-01-05,New York City,5339,25
2021-01-06,New York City,4991,53
2021-01-07,New York City,6339,54
2021-01-08,New York City,7012,37
2021-01-09,New York City,6940,52
2021-01-10,New York City,6272,57
2021-01-11,New York City,5755,73
2021-01-12,New York City,5571,63
2021-01-13,New York City,5949,43
2021-01-14,New York City,5885,93
2021-01-15,New York City,7252,75
2021-01-16,New York City,6268,61
2021-01-17,New York City,5603,66
2021-01-18,New York City,6453,68
2021-01-19,New York City,5559,57
2021-01-20,New York City,4349,88
2021-01-21,New York City,5220,82
2021-01-22,New York City,6847,67
2021-01-23,New York City,5983,68
2021-01-24,New York City,5423,92
2021-01-25,New York City,5664,90
2021-01-26,New York City,5057,72
2021-01-27,New York City,4284,43
2021-01-28,New York City,6487,93
2021-01-29,New York City,6152,97
2021-01-30,New York City,6116,89
2021-01-31,New York City,5434,96
2021-02-01,New York City,4618,88
2021-02-02,New York City,3926,72
2021-02-03,New York City,3812,56
2021-02-04,New York City,2495,74
2021-02-05,New York City,3003,78
2021-02-06,New York City,5590,103
2021-02-07,New York City,5180,96
2021-02-08,New York City,5071,63
2021-02-09,New York City,4765,88
2021-02-10,New York City,2801,93
2021-02-11,New York City,5105,72
2021-02-12,New York City,4506,73
2021-02-13,New York City,4573,99
2021-02-14,New York City,4136,77
2021-02-15,New York City,3628,71
2021-02-16,New York City,3656,87
2021-02-17,New York City,2911,65
2021-02-18,New York City,6226,97
2021-02-19,New York City,4735,96
2021-02-20,New York City,4696,62
2021-02-21,New York City,3011,76
2021-02-22,New York City,3509,64
2021-02-23,New York City,3801,66
2021-02-24,New York City,3313,71
2021-02-25,New York City,4460,63
2021-02-26,New York City,4289,85
2021-02-27,New York City,4273,80
2021-02-28,New York City,4204,79
2021-03-01,New York City,3704,76
2021-03-02,New York City,3698,65
2021-03-03,New York City,3175,91
2021-03-04,New York City,3900,76
2021-03-05,New York City,4051,60
2021-03-06,New York City,4558,60
2021-03-07,New York City,4376,63
2021-03-08,New York City,2878,43
2021-03-09,New York City,3926,45
